episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.1,0.99,0.0040378570556640625
2,14.0,0.99,0.1,0.99,0.00807642936706543
3,23.0,0.9801,0.1,0.99,0.010670185089111328
4,57.0,0.9702989999999999,0.1,0.99,0.02396559715270996
5,32.0,0.96059601,0.1,0.99,0.02396559715270996
6,22.0,0.9509900498999999,0.1,0.99,0.02396559715270996
7,12.0,0.9414801494009999,0.1,0.99,0.02396559715270996
8,16.0,0.9320653479069899,0.1,0.99,0.04007148742675781
9,20.0,0.92274469442792,0.1,0.99,0.04007148742675781
10,15.0,0.9135172474836407,0.1,0.99,0.04007148742675781
11,16.0,0.9043820750088043,0.1,0.99,0.04007148742675781
12,16.0,0.8953382542587163,0.1,0.99,0.058379411697387695
13,19.0,0.8863848717161291,0.1,0.99,0.06242847442626953
14,12.0,0.8775210229989678,0.1,0.99,0.06591677665710449
15,14.0,0.8687458127689781,0.1,0.99,0.07178711891174316
16,36.0,0.8600583546412883,0.1,0.99,0.07178711891174316
17,17.0,0.8514577710948754,0.1,0.99,0.07178711891174316
18,27.0,0.8429431933839266,0.1,0.99,0.08881592750549316
19,36.0,0.8345137614500874,0.1,0.99,0.0958256721496582
20,27.0,0.8261686238355865,0.1,0.99,0.10181879997253418
21,14.0,0.8179069375972307,0.1,0.99,0.10181879997253418
22,17.0,0.8097278682212583,0.1,0.99,0.10181879997253418
23,15.0,0.8016305895390458,0.1,0.99,0.10181879997253418
24,12.0,0.7936142836436553,0.1,0.99,0.10181879997253418
25,15.0,0.7856781408072188,0.1,0.99,0.11962199211120605
26,44.0,0.7778213593991465,0.1,0.99,0.11962199211120605
27,26.0,0.7700431458051551,0.1,0.99,0.13332033157348633
28,51.0,0.7623427143471035,0.1,0.99,0.1427609920501709
29,17.0,0.7547192872036325,0.1,0.99,0.14776611328125
30,19.0,0.7471720943315961,0.1,0.99,0.14876818656921387
31,15.0,0.7397003733882802,0.1,0.99,0.14876818656921387
32,17.0,0.7323033696543974,0.1,0.99,0.14876818656921387
33,57.0,0.7249803359578534,0.1,0.99,0.1645359992980957
34,18.0,0.7177305325982748,0.1,0.99,0.1645359992980957
35,11.0,0.7105532272722921,0.1,0.99,0.1645359992980957
36,18.0,0.7034476949995692,0.1,0.99,0.18040823936462402
37,59.0,0.6964132180495735,0.1,0.99,0.18040823936462402
38,32.0,0.6894490858690777,0.1,0.99,0.19833064079284668
39,17.0,0.682554595010387,0.1,0.99,0.2023313045501709
40,20.0,0.6757290490602831,0.1,0.99,0.2063305377960205
41,11.0,0.6689717585696803,0.1,0.99,0.21033191680908203
42,35.0,0.6622820409839835,0.1,0.99,0.21343135833740234
43,17.0,0.6556592205741436,0.1,0.99,0.21343135833740234
44,17.0,0.6491026283684022,0.1,0.99,0.22871088981628418
45,14.0,0.6426116020847181,0.1,0.99,0.23270177841186523
46,26.0,0.6361854860638709,0.1,0.99,0.23769497871398926
47,41.0,0.6298236312032323,0.1,0.99,0.24526333808898926
48,19.0,0.6235253948912,0.1,0.99,0.25026845932006836
49,23.0,0.617290140942288,0.1,0.99,0.25426149368286133
50,36.0,0.6111172395328651,0.1,0.99,0.2592651844024658
51,24.0,0.6050060671375365,0.1,0.99,0.2592651844024658
52,12.0,0.5989560064661611,0.1,0.99,0.2592651844024658
53,26.0,0.5929664464014994,0.1,0.99,0.2753593921661377
54,21.0,0.5870367819374844,0.1,0.99,0.2753593921661377
55,21.0,0.5811664141181095,0.1,0.99,0.2753593921661377
56,18.0,0.5753547499769285,0.1,0.99,0.2753593921661377
57,31.0,0.5696012024771592,0.1,0.99,0.2915201187133789
58,21.0,0.5639051904523876,0.1,0.99,0.2915201187133789
59,50.0,0.5582661385478638,0.1,0.99,0.3076658248901367
60,15.0,0.5526834771623851,0.1,0.99,0.31170654296875
61,41.0,0.5471566423907612,0.1,0.99,0.31870436668395996
62,37.0,0.5416850759668536,0.1,0.99,0.3210484981536865
63,44.0,0.536268225207185,0.1,0.99,0.3210484981536865
64,12.0,0.5309055429551132,0.1,0.99,0.3366401195526123
65,22.0,0.525596487525562,0.1,0.99,0.34041786193847656
66,18.0,0.5203405226503064,0.1,0.99,0.34041786193847656
67,58.0,0.5151371174238033,0.1,0.99,0.35957813262939453
68,12.0,0.5099857462495653,0.1,0.99,0.3625776767730713
69,15.0,0.5048858887870696,0.1,0.99,0.3665783405303955
70,11.0,0.4998370298991989,0.1,0.99,0.37001514434814453
71,93.0,0.49483865960020695,0.1,0.99,0.38521814346313477
