episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.95,0.0
2,14.0,0.98,0.05,0.95,0.0
3,26.0,0.9603999999999999,0.05,0.95,0.017894744873046875
4,10.0,0.9411919999999999,0.05,0.95,0.017894744873046875
5,16.0,0.9223681599999999,0.05,0.95,0.017894744873046875
6,32.0,0.9039207967999998,0.05,0.95,0.017894744873046875
7,27.0,0.8858423808639998,0.05,0.95,0.0316312313079834
8,11.0,0.8681255332467198,0.05,0.95,0.0316312313079834
9,37.0,0.8507630225817854,0.05,0.95,0.0316312313079834
10,92.0,0.8337477621301497,0.05,0.95,0.04970359802246094
11,42.0,0.8170728068875467,0.05,0.95,0.04970359802246094
12,16.0,0.8007313507497957,0.05,0.95,0.04970359802246094
13,10.0,0.7847167237347998,0.05,0.95,0.04970359802246094
14,54.0,0.7690223892601038,0.05,0.95,0.0704488754272461
15,30.0,0.7536419414749017,0.05,0.95,0.07548213005065918
16,10.0,0.7385691026454037,0.05,0.95,0.07748603820800781
17,12.0,0.7237977205924956,0.05,0.95,0.07848811149597168
18,20.0,0.7093217661806457,0.05,0.95,0.07848811149597168
19,16.0,0.6951353308570327,0.05,0.95,0.07848811149597168
20,12.0,0.6812326242398921,0.05,0.95,0.07848811149597168
21,15.0,0.6676079717550942,0.05,0.95,0.07848811149597168
22,15.0,0.6542558123199923,0.05,0.95,0.07848811149597168
23,12.0,0.6411706960735924,0.05,0.95,0.09455704689025879
24,32.0,0.6283472821521205,0.05,0.95,0.09455704689025879
25,75.0,0.6157803365090782,0.05,0.95,0.09455704689025879
26,11.0,0.6034647297788965,0.05,0.95,0.11051201820373535
27,39.0,0.5913954351833186,0.05,0.95,0.11630606651306152
28,33.0,0.5795675264796523,0.05,0.95,0.12235903739929199
29,19.0,0.5679761759500592,0.05,0.95,0.12757539749145508
30,59.0,0.5566166524310581,0.05,0.95,0.13656306266784668
31,13.0,0.5454843193824369,0.05,0.95,0.13956403732299805
32,80.0,0.5345746329947881,0.05,0.95,0.13956403732299805
33,49.0,0.5238831403348924,0.05,0.95,0.16054534912109375
34,65.0,0.5134054775281945,0.05,0.95,0.17369413375854492
35,43.0,0.5031373679776306,0.05,0.95,0.17969632148742676
36,20.0,0.493074620618078,0.05,0.95,0.18269968032836914
37,66.0,0.48321312820571644,0.05,0.95,0.1866931915283203
38,12.0,0.4735488656416021,0.05,0.95,0.1866931915283203
39,16.0,0.46407788832877006,0.05,0.95,0.1866931915283203
40,10.0,0.45479633056219465,0.05,0.95,0.1866931915283203
41,83.0,0.44570040395095073,0.05,0.95,0.20278143882751465
42,66.0,0.4367863958719317,0.05,0.95,0.20278143882751465
43,32.0,0.42805066795449304,0.05,0.95,0.20278143882751465
44,93.0,0.41948965459540316,0.05,0.95,0.21869683265686035
45,65.0,0.4110998615034951,0.05,0.95,0.2368299961090088
46,46.0,0.4028778642734252,0.05,0.95,0.24283814430236816
47,45.0,0.39482030698795667,0.05,0.95,0.24883818626403809
48,23.0,0.38692390084819756,0.05,0.95,0.2518296241760254
49,59.0,0.3791854228312336,0.05,0.95,0.2590456008911133
50,10.0,0.37160171437460887,0.05,0.95,0.2630734443664551
51,15.0,0.3641696800871167,0.05,0.95,0.265089750289917
52,9.0,0.35688628648537435,0.05,0.95,0.2662694454193115
53,36.0,0.34974856075566685,0.05,0.95,0.272186279296875
54,10.0,0.3427535895405535,0.05,0.95,0.2751882076263428
55,11.0,0.33589851774974244,0.05,0.95,0.2771885395050049
56,16.0,0.3291805473947476,0.05,0.95,0.2791891098022461
57,12.0,0.32259693644685267,0.05,0.95,0.28218770027160645
58,21.0,0.3161449977179156,0.05,0.95,0.2851886749267578
59,11.0,0.3098220977635573,0.05,0.95,0.28719353675842285
60,11.0,0.30362565580828615,0.05,0.95,0.2902190685272217
61,11.0,0.2975531426921204,0.05,0.95,0.2922194004058838
62,53.0,0.291602079838278,0.05,0.95,0.2982187271118164
63,58.0,0.2857700382415124,0.05,0.95,0.30323362350463867
64,26.0,0.2800546374766822,0.05,0.95,0.30323362350463867
65,37.0,0.27445354472714856,0.05,0.95,0.30323362350463867
66,31.0,0.2689644738326056,0.05,0.95,0.30323362350463867
67,25.0,0.26358518435595346,0.05,0.95,0.3191859722137451
68,64.0,0.25831348066883436,0.05,0.95,0.3191859722137451
69,9.0,0.2531472110554577,0.05,0.95,0.3191859722137451
70,36.0,0.24808426683434853,0.05,0.95,0.3352084159851074
71,11.0,0.24312258149766156,0.05,0.95,0.3352084159851074
72,48.0,0.2382601298677083,0.05,0.95,0.3352084159851074
73,27.0,0.23349492727035415,0.05,0.95,0.3352084159851074
74,12.0,0.22882502872494706,0.05,0.95,0.3352084159851074
75,27.0,0.22424852815044813,0.05,0.95,0.35118889808654785
76,11.0,0.21976355758743915,0.05,0.95,0.35118889808654785
77,30.0,0.21536828643569036,0.05,0.95,0.35118889808654785
78,33.0,0.21106092070697655,0.05,0.95,0.35118889808654785
79,39.0,0.20683970229283702,0.05,0.95,0.36898136138916016
80,24.0,0.20270290824698028,0.05,0.95,0.36898136138916016
81,10.0,0.19864885008204067,0.05,0.95,0.36898136138916016
82,35.0,0.19467587308039985,0.05,0.95,0.36898136138916016
83,41.0,0.19078235561879187,0.05,0.95,0.3862178325653076
84,38.0,0.18696670850641603,0.05,0.95,0.39023256301879883
85,10.0,0.18322737433628772,0.05,0.95,0.39235711097717285
86,77.0,0.17956282684956196,0.05,0.95,0.4013843536376953
87,30.0,0.1759715703125707,0.05,0.95,0.40538501739501953
