episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.95,0.003026247024536133
2,14.0,0.995,0.05,0.95,0.004998922348022461
3,23.0,0.990025,0.05,0.95,0.010778665542602539
4,57.0,0.985074875,0.05,0.95,0.017364501953125
5,24.0,0.9801495006250001,0.05,0.95,0.020363569259643555
6,31.0,0.9752487531218751,0.05,0.95,0.024364709854125977
7,31.0,0.9703725093562657,0.05,0.95,0.028364896774291992
8,13.0,0.9655206468094844,0.05,0.95,0.0313572883605957
9,24.0,0.960693043575437,0.05,0.95,0.03436398506164551
10,47.0,0.9558895783575597,0.05,0.95,0.04036402702331543
11,17.0,0.9511101304657719,0.05,0.95,0.04235672950744629
12,21.0,0.946354579813443,0.05,0.95,0.04536890983581543
13,27.0,0.9416228069143757,0.05,0.95,0.049365997314453125
14,15.0,0.9369146928798039,0.05,0.95,0.05282902717590332
15,31.0,0.9322301194154049,0.05,0.95,0.05282902717590332
16,24.0,0.9275689688183278,0.05,0.95,0.05282902717590332
17,16.0,0.9229311239742362,0.05,0.95,0.05282902717590332
18,20.0,0.918316468354365,0.05,0.95,0.05282902717590332
19,21.0,0.9137248860125932,0.05,0.95,0.06881308555603027
20,12.0,0.9091562615825302,0.05,0.95,0.06881308555603027
21,42.0,0.9046104802746175,0.05,0.95,0.06881308555603027
22,15.0,0.9000874278732445,0.05,0.95,0.06881308555603027
23,53.0,0.8955869907338783,0.05,0.95,0.08471965789794922
24,14.0,0.8911090557802088,0.05,0.95,0.08471965789794922
25,40.0,0.8866535105013078,0.05,0.95,0.08471965789794922
26,19.0,0.8822202429488013,0.05,0.95,0.08471965789794922
27,92.0,0.8778091417340573,0.05,0.95,0.1008305549621582
28,15.0,0.8734200960253871,0.05,0.95,0.1008305549621582
29,25.0,0.8690529955452602,0.05,0.95,0.1008305549621582
30,21.0,0.8647077305675338,0.05,0.95,0.1139824390411377
31,26.0,0.8603841919146962,0.05,0.95,0.11653447151184082
32,27.0,0.8560822709551227,0.05,0.95,0.11653447151184082
33,20.0,0.851801859600347,0.05,0.95,0.11653447151184082
34,29.0,0.8475428503023453,0.05,0.95,0.11653447151184082
35,26.0,0.8433051360508336,0.05,0.95,0.13241338729858398
36,14.0,0.8390886103705794,0.05,0.95,0.13241338729858398
37,11.0,0.8348931673187264,0.05,0.95,0.13241338729858398
38,23.0,0.8307187014821328,0.05,0.95,0.13241338729858398
39,18.0,0.8265651079747222,0.05,0.95,0.13241338729858398
40,14.0,0.8224322824348486,0.05,0.95,0.13241338729858398
41,46.0,0.8183201210226743,0.05,0.95,0.1503129005432129
42,25.0,0.8142285204175609,0.05,0.95,0.1543104648590088
43,25.0,0.810157377815473,0.05,0.95,0.15730929374694824
44,15.0,0.8061065909263957,0.05,0.95,0.1593172550201416
45,13.0,0.8020760579717637,0.05,0.95,0.16131019592285156
46,39.0,0.798065677681905,0.05,0.95,0.16131019592285156
47,25.0,0.7940753492934954,0.05,0.95,0.16131019592285156
48,10.0,0.7901049725470279,0.05,0.95,0.16131019592285156
49,16.0,0.7861544476842928,0.05,0.95,0.16131019592285156
50,35.0,0.7822236754458713,0.05,0.95,0.17854738235473633
51,24.0,0.778312557068642,0.05,0.95,0.1825275421142578
52,18.0,0.7744209942832988,0.05,0.95,0.18452835083007812
53,27.0,0.7705488893118823,0.05,0.95,0.18852972984313965
54,17.0,0.7666961448653229,0.05,0.95,0.19052910804748535
55,21.0,0.7628626641409962,0.05,0.95,0.19252419471740723
56,49.0,0.7590483508202912,0.05,0.95,0.19252419471740723
57,11.0,0.7552531090661897,0.05,0.95,0.19252419471740723
58,17.0,0.7514768435208588,0.05,0.95,0.19252419471740723
59,38.0,0.7477194593032545,0.05,0.95,0.20962953567504883
60,13.0,0.7439808620067382,0.05,0.95,0.20962953567504883
61,50.0,0.7402609576967045,0.05,0.95,0.22011709213256836
62,13.0,0.736559652908221,0.05,0.95,0.22211933135986328
63,31.0,0.7328768546436799,0.05,0.95,0.22611689567565918
64,16.0,0.7292124703704616,0.05,0.95,0.22812175750732422
65,31.0,0.7255664080186093,0.05,0.95,0.2321164608001709
66,16.0,0.7219385759785162,0.05,0.95,0.23506474494934082
67,12.0,0.7183288830986236,0.05,0.95,0.23719358444213867
68,36.0,0.7147372386831305,0.05,0.95,0.24219822883605957
69,22.0,0.7111635524897149,0.05,0.95,0.24519681930541992
70,43.0,0.7076077347272662,0.05,0.95,0.2501964569091797
71,18.0,0.7040696960536299,0.05,0.95,0.25219202041625977
72,10.0,0.7005493475733617,0.05,0.95,0.25219202041625977
73,19.0,0.697046600835495,0.05,0.95,0.25219202041625977
74,11.0,0.6935613678313175,0.05,0.95,0.25219202041625977
75,14.0,0.6900935609921609,0.05,0.95,0.25219202041625977
76,24.0,0.6866430931872001,0.05,0.95,0.25219202041625977
77,11.0,0.6832098777212641,0.05,0.95,0.25219202041625977
78,17.0,0.6797938283326578,0.05,0.95,0.26935696601867676
79,14.0,0.6763948591909945,0.05,0.95,0.26935696601867676
80,15.0,0.6730128848950395,0.05,0.95,0.26935696601867676
81,13.0,0.6696478204705644,0.05,0.95,0.26935696601867676
82,16.0,0.6662995813682115,0.05,0.95,0.26935696601867676
83,20.0,0.6629680834613705,0.05,0.95,0.26935696601867676
84,11.0,0.6596532430440636,0.05,0.95,0.26935696601867676
85,139.0,0.6563549768288433,0.05,0.95,0.28417301177978516
86,39.0,0.653073201944699,0.05,0.95,0.30005383491516113
87,44.0,0.6498078359349755,0.05,0.95,0.30005383491516113
88,14.0,0.6465587967553006,0.05,0.95,0.30005383491516113
89,20.0,0.6433260027715241,0.05,0.95,0.30005383491516113
90,17.0,0.6401093727576664,0.05,0.95,0.31432175636291504
91,35.0,0.6369088258938781,0.05,0.95,0.31611061096191406
92,42.0,0.6337242817644086,0.05,0.95,0.31611061096191406
93,40.0,0.6305556603555866,0.05,0.95,0.31611061096191406
94,11.0,0.6274028820538087,0.05,0.95,0.31611061096191406
95,23.0,0.6242658676435396,0.05,0.95,0.3320631980895996
96,44.0,0.6211445383053219,0.05,0.95,0.3320631980895996
97,62.0,0.6180388156137953,0.05,0.95,0.3320631980895996
98,22.0,0.6149486215357263,0.05,0.95,0.34806013107299805
99,40.0,0.6118738784280476,0.05,0.95,0.34806013107299805
100,26.0,0.6088145090359074,0.05,0.95,0.34806013107299805
101,14.0,0.6057704364907278,0.05,0.95,0.34806013107299805
102,11.0,0.6027415843082742,0.05,0.95,0.3653712272644043
103,36.0,0.5997278763867329,0.05,0.95,0.3695871829986572
104,15.0,0.5967292370047992,0.05,0.95,0.37262892723083496
105,11.0,0.5937455908197752,0.05,0.95,0.37462902069091797
106,22.0,0.5907768628656763,0.05,0.95,0.3776254653930664
107,31.0,0.5878229785513479,0.05,0.95,0.3818655014038086
108,36.0,0.5848838636585911,0.05,0.95,0.38586878776550293
109,42.0,0.5819594443402982,0.05,0.95,0.39206433296203613
110,12.0,0.5790496471185967,0.05,0.95,0.3946514129638672
111,13.0,0.5761543988830038,0.05,0.95,0.3977334499359131
112,41.0,0.5732736268885887,0.05,0.95,0.40274858474731445
113,74.0,0.5704072587541458,0.05,0.95,0.41174817085266113
114,35.0,0.567555222460375,0.05,0.95,0.4145088195800781
115,59.0,0.5647174463480732,0.05,0.95,0.4145088195800781
116,14.0,0.5618938591163328,0.05,0.95,0.4278895854949951
117,23.0,0.5590843898207511,0.05,0.95,0.4278895854949951
118,22.0,0.5562889678716474,0.05,0.95,0.4278895854949951
119,19.0,0.5535075230322891,0.05,0.95,0.4278895854949951
120,11.0,0.5507399854171277,0.05,0.95,0.4278895854949951
121,61.0,0.547986285490042,0.05,0.95,0.44391655921936035
122,42.0,0.5452463540625918,0.05,0.95,0.44391655921936035
123,32.0,0.5425201222922789,0.05,0.95,0.44391655921936035
124,17.0,0.5398075216808175,0.05,0.95,0.4646186828613281
125,20.0,0.5371084840724134,0.05,0.95,0.4686262607574463
126,158.0,0.5344229416520513,0.05,0.95,0.48680639266967773
127,14.0,0.531750826943791,0.05,0.95,0.4898037910461426
128,13.0,0.5290920728090721,0.05,0.95,0.4898037910461426
129,22.0,0.5264466124450268,0.05,0.95,0.4898037910461426
130,13.0,0.5238143793828016,0.05,0.95,0.4898037910461426
131,33.0,0.5211953074858876,0.05,0.95,0.4898037910461426
132,13.0,0.5185893309484582,0.05,0.95,0.5055081844329834
133,8.0,0.5159963842937159,0.05,0.95,0.507805347442627
134,11.0,0.5134164023722473,0.05,0.95,0.5098142623901367
135,11.0,0.510849320360386,0.05,0.95,0.5117800235748291
136,10.0,0.5082950737585841,0.05,0.95,0.5148096084594727
137,13.0,0.5057535983897912,0.05,0.95,0.5173995494842529
138,13.0,0.5032248303978422,0.05,0.95,0.5193922519683838
139,20.0,0.500708706245853,0.05,0.95,0.5213696956634521
140,12.0,0.4982051627146237,0.05,0.95,0.5213696956634521
141,11.0,0.49571413690105054,0.05,0.95,0.5213696956634521
142,19.0,0.4932355662165453,0.05,0.95,0.5213696956634521
143,12.0,0.4907693883854626,0.05,0.95,0.5213696956634521
144,37.0,0.4883155414435353,0.05,0.95,0.5374152660369873
145,10.0,0.4858739637363176,0.05,0.95,0.5374152660369873
146,11.0,0.483444593917636,0.05,0.95,0.5374152660369873
147,13.0,0.4810273709480478,0.05,0.95,0.5374152660369873
148,24.0,0.47862223409330756,0.05,0.95,0.5374152660369873
149,12.0,0.47622912292284103,0.05,0.95,0.5374152660369873
150,10.0,0.4738479773082268,0.05,0.95,0.5374152660369873
151,10.0,0.47147873742168567,0.05,0.95,0.5534043312072754
152,14.0,0.46912134373457726,0.05,0.95,0.5563843250274658
