episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.01,0.95,0.0
2,14.0,0.98,0.01,0.95,0.01709270477294922
3,15.0,0.9603999999999999,0.01,0.95,0.020056724548339844
4,9.0,0.9411919999999999,0.01,0.95,0.02205514907836914
5,19.0,0.9223681599999999,0.01,0.95,0.02508401870727539
6,27.0,0.9039207967999998,0.01,0.95,0.029082059860229492
7,19.0,0.8858423808639998,0.01,0.95,0.03107619285583496
8,17.0,0.8681255332467198,0.01,0.95,0.03107619285583496
9,12.0,0.8507630225817854,0.01,0.95,0.03107619285583496
10,24.0,0.8337477621301497,0.01,0.95,0.03107619285583496
11,26.0,0.8170728068875467,0.01,0.95,0.03107619285583496
12,14.0,0.8007313507497957,0.01,0.95,0.03107619285583496
13,18.0,0.7847167237347998,0.01,0.95,0.049225807189941406
14,16.0,0.7690223892601038,0.01,0.95,0.052255868911743164
15,28.0,0.7536419414749017,0.01,0.95,0.055253028869628906
16,22.0,0.7385691026454037,0.01,0.95,0.059265851974487305
17,15.0,0.7237977205924956,0.01,0.95,0.061269283294677734
18,13.0,0.7093217661806457,0.01,0.95,0.061269283294677734
19,15.0,0.6951353308570327,0.01,0.95,0.061269283294677734
20,13.0,0.6812326242398921,0.01,0.95,0.061269283294677734
21,12.0,0.6676079717550942,0.01,0.95,0.061269283294677734
22,17.0,0.6542558123199923,0.01,0.95,0.07298898696899414
23,24.0,0.6411706960735924,0.01,0.95,0.07711577415466309
24,19.0,0.6283472821521205,0.01,0.95,0.08181929588317871
25,20.0,0.6157803365090782,0.01,0.95,0.08483648300170898
26,12.0,0.6034647297788965,0.01,0.95,0.08787178993225098
27,18.0,0.5913954351833186,0.01,0.95,0.08987140655517578
28,15.0,0.5795675264796523,0.01,0.95,0.09286880493164062
29,10.0,0.5679761759500592,0.01,0.95,0.09585070610046387
30,13.0,0.5566166524310581,0.01,0.95,0.09896445274353027
31,12.0,0.5454843193824369,0.01,0.95,0.10046052932739258
32,16.0,0.5345746329947881,0.01,0.95,0.1035006046295166
33,15.0,0.5238831403348924,0.01,0.95,0.10551214218139648
34,12.0,0.5134054775281945,0.01,0.95,0.10849571228027344
35,13.0,0.5031373679776306,0.01,0.95,0.11049580574035645
36,8.0,0.493074620618078,0.01,0.95,0.11263298988342285
37,19.0,0.48321312820571644,0.01,0.95,0.11573195457458496
38,10.0,0.4735488656416021,0.01,0.95,0.11773371696472168
39,15.0,0.46407788832877006,0.01,0.95,0.11973404884338379
40,10.0,0.45479633056219465,0.01,0.95,0.1217041015625
41,13.0,0.44570040395095073,0.01,0.95,0.12473368644714355
42,10.0,0.4367863958719317,0.01,0.95,0.12673282623291016
43,13.0,0.42805066795449304,0.01,0.95,0.12873125076293945
44,13.0,0.41948965459540316,0.01,0.95,0.13172411918640137
45,10.0,0.4110998615034951,0.01,0.95,0.13372588157653809
46,10.0,0.4028778642734252,0.01,0.95,0.1347043514251709
47,12.0,0.39482030698795667,0.01,0.95,0.1377243995666504
48,14.0,0.38692390084819756,0.01,0.95,0.1397254467010498
49,15.0,0.3791854228312336,0.01,0.95,0.1397254467010498
50,18.0,0.37160171437460887,0.01,0.95,0.1397254467010498
51,17.0,0.3641696800871167,0.01,0.95,0.1397254467010498
52,10.0,0.35688628648537435,0.01,0.95,0.1397254467010498
