episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.99,0.007092475891113281
2,14.0,0.99,0.05,0.99,0.01112675666809082
3,23.0,0.9801,0.05,0.99,0.01592254638671875
4,57.0,0.9702989999999999,0.05,0.99,0.02301931381225586
5,35.0,0.96059601,0.05,0.99,0.027019500732421875
6,18.0,0.9509900498999999,0.05,0.99,0.030031919479370117
7,17.0,0.9414801494009999,0.05,0.99,0.03319573402404785
8,12.0,0.9320653479069899,0.05,0.99,0.03519773483276367
9,13.0,0.92274469442792,0.05,0.99,0.03719592094421387
10,18.0,0.9135172474836407,0.05,0.99,0.040198564529418945
11,15.0,0.9043820750088043,0.05,0.99,0.04220080375671387
12,39.0,0.8953382542587163,0.05,0.99,0.0473942756652832
13,11.0,0.8863848717161291,0.05,0.99,0.04939126968383789
14,14.0,0.8775210229989678,0.05,0.99,0.053380727767944336
15,38.0,0.8687458127689781,0.05,0.99,0.05738997459411621
16,15.0,0.8600583546412883,0.05,0.99,0.06038331985473633
17,33.0,0.8514577710948754,0.05,0.99,0.06135058403015137
18,37.0,0.8429431933839266,0.05,0.99,0.06135058403015137
19,17.0,0.8345137614500874,0.05,0.99,0.06135058403015137
20,75.0,0.8261686238355865,0.05,0.99,0.07731962203979492
21,14.0,0.8179069375972307,0.05,0.99,0.08223414421081543
22,8.0,0.8097278682212583,0.05,0.99,0.08223414421081543
23,17.0,0.8016305895390458,0.05,0.99,0.08223414421081543
24,44.0,0.7936142836436553,0.05,0.99,0.08223414421081543
25,16.0,0.7856781408072188,0.05,0.99,0.0946660041809082
26,14.0,0.7778213593991465,0.05,0.99,0.0946660041809082
27,14.0,0.7700431458051551,0.05,0.99,0.0946660041809082
28,19.0,0.7623427143471035,0.05,0.99,0.10497879981994629
29,15.0,0.7547192872036325,0.05,0.99,0.10798430442810059
30,12.0,0.7471720943315961,0.05,0.99,0.10997819900512695
31,12.0,0.7397003733882802,0.05,0.99,0.11197757720947266
32,13.0,0.7323033696543974,0.05,0.99,0.11397814750671387
33,16.0,0.7249803359578534,0.05,0.99,0.11698341369628906
34,18.0,0.7177305325982748,0.05,0.99,0.11957406997680664
35,11.0,0.7105532272722921,0.05,0.99,0.12206006050109863
36,17.0,0.7034476949995692,0.05,0.99,0.12505459785461426
37,11.0,0.6964132180495735,0.05,0.99,0.12706828117370605
38,12.0,0.6894490858690777,0.05,0.99,0.12905502319335938
39,15.0,0.682554595010387,0.05,0.99,0.13105559349060059
40,16.0,0.6757290490602831,0.05,0.99,0.13405561447143555
41,16.0,0.6689717585696803,0.05,0.99,0.13605785369873047
42,14.0,0.6622820409839835,0.05,0.99,0.13805699348449707
43,12.0,0.6556592205741436,0.05,0.99,0.13805699348449707
44,13.0,0.6491026283684022,0.05,0.99,0.13805699348449707
45,9.0,0.6426116020847181,0.05,0.99,0.13805699348449707
46,9.0,0.6361854860638709,0.05,0.99,0.13805699348449707
47,16.0,0.6298236312032323,0.05,0.99,0.13805699348449707
48,9.0,0.6235253948912,0.05,0.99,0.13805699348449707
49,9.0,0.617290140942288,0.05,0.99,0.13805699348449707
50,23.0,0.6111172395328651,0.05,0.99,0.15412044525146484
51,13.0,0.6050060671375365,0.05,0.99,0.15412044525146484
52,86.0,0.5989560064661611,0.05,0.99,0.15412044525146484
53,48.0,0.5929664464014994,0.05,0.99,0.1719365119934082
54,12.0,0.5870367819374844,0.05,0.99,0.1739485263824463
55,14.0,0.5811664141181095,0.05,0.99,0.1779773235321045
56,20.0,0.5753547499769285,0.05,0.99,0.1799919605255127
57,19.0,0.5696012024771592,0.05,0.99,0.1820063591003418
58,20.0,0.5639051904523876,0.05,0.99,0.1857776641845703
59,14.0,0.5582661385478638,0.05,0.99,0.18779492378234863
60,44.0,0.5526834771623851,0.05,0.99,0.19382858276367188
61,22.0,0.5471566423907612,0.05,0.99,0.19584393501281738
62,12.0,0.5416850759668536,0.05,0.99,0.19785618782043457
63,30.0,0.536268225207185,0.05,0.99,0.20162510871887207
64,30.0,0.5309055429551132,0.05,0.99,0.20565199851989746
65,76.0,0.525596487525562,0.05,0.99,0.21369671821594238
66,47.0,0.5203405226503064,0.05,0.99,0.21923041343688965
67,37.0,0.5151371174238033,0.05,0.99,0.22325348854064941
68,134.0,0.5099857462495653,0.05,0.99,0.23707795143127441
69,15.0,0.5048858887870696,0.05,0.99,0.24109935760498047
70,28.0,0.4998370298991989,0.05,0.99,0.24512219429016113
71,31.0,0.49483865960020695,0.05,0.99,0.24888825416564941
72,10.0,0.4898902730042049,0.05,0.99,0.2511024475097656
73,50.0,0.48499137027416284,0.05,0.99,0.25611114501953125
74,43.0,0.4801414565714212,0.05,0.99,0.26110363006591797
75,21.0,0.475340042005707,0.05,0.99,0.2650797367095947
76,40.0,0.47058664158564995,0.05,0.99,0.269808292388916
77,50.0,0.4658807751697934,0.05,0.99,0.27580809593200684
78,63.0,0.4612219674180955,0.05,0.99,0.28081250190734863
79,40.0,0.45660974774391455,0.05,0.99,0.28081250190734863
80,9.0,0.4520436502664754,0.05,0.99,0.28081250190734863
81,49.0,0.44752321376381066,0.05,0.99,0.28081250190734863
82,13.0,0.44304798162617254,0.05,0.99,0.29663586616516113
83,18.0,0.4386175018099108,0.05,0.99,0.29663586616516113
84,43.0,0.4342313267918117,0.05,0.99,0.29663586616516113
85,9.0,0.4298890135238936,0.05,0.99,0.29663586616516113
86,27.0,0.42559012338865465,0.05,0.99,0.29663586616516113
87,14.0,0.4213342221547681,0.05,0.99,0.3124985694885254
88,16.0,0.41712087993322045,0.05,0.99,0.3124985694885254
89,49.0,0.41294967113388825,0.05,0.99,0.31729936599731445
90,16.0,0.40882017442254937,0.05,0.99,0.31729936599731445
91,71.0,0.4047319726783239,0.05,0.99,0.3282644748687744
92,74.0,0.40068465295154065,0.05,0.99,0.3282644748687744
93,31.0,0.39667780642202527,0.05,0.99,0.3282644748687744
94,53.0,0.392711028357805,0.05,0.99,0.3495447635650635
95,8.0,0.38878391807422696,0.05,0.99,0.3515188694000244
96,53.0,0.3848960788934847,0.05,0.99,0.3575448989868164
97,9.0,0.38104711810454983,0.05,0.99,0.35951852798461914
98,50.0,0.37723664692350434,0.05,0.99,0.36655211448669434
99,20.0,0.37346428045426927,0.05,0.99,0.36954712867736816
100,8.0,0.36972963764972655,0.05,0.99,0.3715488910675049
101,24.0,0.36603234127322926,0.05,0.99,0.37677621841430664
102,11.0,0.36237201786049694,0.05,0.99,0.37877583503723145
103,23.0,0.358748297681892,0.05,0.99,0.3817727565765381
104,15.0,0.35516081470507305,0.05,0.99,0.38477540016174316
105,11.0,0.3516092065580223,0.05,0.99,0.38677382469177246
106,14.0,0.34809311449244207,0.05,0.99,0.38877439498901367
107,11.0,0.34461218334751764,0.05,0.99,0.389782190322876
108,55.0,0.34116606151404244,0.05,0.99,0.389782190322876
109,30.0,0.337754400898902,0.05,0.99,0.389782190322876
110,16.0,0.334376856889913,0.05,0.99,0.389782190322876
111,11.0,0.33103308832101386,0.05,0.99,0.4057440757751465
112,22.0,0.3277227574378037,0.05,0.99,0.4057440757751465
113,69.0,0.3244455298634257,0.05,0.99,0.4057440757751465
114,46.0,0.3212010745647914,0.05,0.99,0.4218175411224365
115,12.0,0.3179890638191435,0.05,0.99,0.4218175411224365
116,84.0,0.31480917318095203,0.05,0.99,0.4218175411224365
117,13.0,0.3116610814491425,0.05,0.99,0.4218175411224365
118,11.0,0.30854447063465107,0.05,0.99,0.43758392333984375
119,10.0,0.30545902592830454,0.05,0.99,0.43758392333984375
120,54.0,0.3024044356690215,0.05,0.99,0.43758392333984375
121,50.0,0.29938039131233124,0.05,0.99,0.43758392333984375
122,25.0,0.2963865873992079,0.05,0.99,0.45359349250793457
123,36.0,0.29342272152521587,0.05,0.99,0.45359349250793457
124,13.0,0.2904884943099637,0.05,0.99,0.45359349250793457
125,43.0,0.28758360936686406,0.05,0.99,0.45359349250793457
126,61.0,0.2847077732731954,0.05,0.99,0.4749774932861328
127,67.0,0.28186069554046345,0.05,0.99,0.4819791316986084
128,26.0,0.2790420885850588,0.05,0.99,0.4859771728515625
129,11.0,0.2762516676992082,0.05,0.99,0.4879801273345947
130,58.0,0.27348915102221616,0.05,0.99,0.49497389793395996
131,11.0,0.270754259511994,0.05,0.99,0.49697399139404297
132,149.0,0.26804671691687404,0.05,0.99,0.49898505210876465
133,134.0,0.2653662497477053,0.05,0.99,0.5176165103912354
134,20.0,0.2627125872502282,0.05,0.99,0.5176165103912354
135,15.0,0.2600854613777259,0.05,0.99,0.5306627750396729
136,24.0,0.2574846067639487,0.05,0.99,0.5306627750396729
137,11.0,0.2549097606963092,0.05,0.99,0.5306627750396729
138,89.0,0.2523606630893461,0.05,0.99,0.5467190742492676
139,9.0,0.24983705645845267,0.05,0.99,0.5467190742492676
140,32.0,0.24733868589386815,0.05,0.99,0.5467190742492676
141,58.0,0.24486529903492946,0.05,0.99,0.5467190742492676
142,57.0,0.24241664604458016,0.05,0.99,0.5672628879547119
143,56.0,0.23999247958413436,0.05,0.99,0.5753092765808105
144,40.0,0.23759255478829303,0.05,0.99,0.5818924903869629
145,13.0,0.2352166292404101,0.05,0.99,0.5838625431060791
146,65.0,0.232864462948006,0.05,0.99,0.592857837677002
147,84.0,0.23053581831852593,0.05,0.99,0.606879472732544
148,26.0,0.22823046013534068,0.05,0.99,0.6138887405395508
149,9.0,0.22594815553398728,0.05,0.99,0.6158919334411621
150,35.0,0.22368867397864742,0.05,0.99,0.6218156814575195
151,50.0,0.22145178723886094,0.05,0.99,0.6317942142486572
152,13.0,0.21923726936647234,0.05,0.99,0.6347777843475342
153,25.0,0.2170448966728076,0.05,0.99,0.6386818885803223
154,10.0,0.21487444770607952,0.05,0.99,0.6406795978546143
155,12.0,0.21272570322901874,0.05,0.99,0.6426799297332764
156,11.0,0.21059844619672854,0.05,0.99,0.6446795463562012
157,56.0,0.20849246173476127,0.05,0.99,0.651679277420044
158,14.0,0.20640753711741366,0.05,0.99,0.6542346477508545
159,31.0,0.20434346174623952,0.05,0.99,0.6593582630157471
160,9.0,0.20230002712877712,0.05,0.99,0.6603262424468994
161,54.0,0.20027702685748935,0.05,0.99,0.6673579216003418
162,85.0,0.19827425658891445,0.05,0.99,0.6765761375427246
163,26.0,0.1962915140230253,0.05,0.99,0.6795632839202881
164,13.0,0.19432859888279505,0.05,0.99,0.6815567016601562
165,71.0,0.1923853128939671,0.05,0.99,0.6896035671234131
166,47.0,0.19046145976502743,0.05,0.99,0.6956043243408203
167,18.0,0.18855684516737714,0.05,0.99,0.6986033916473389
168,26.0,0.18667127671570335,0.05,0.99,0.702157735824585
169,12.0,0.18480456394854633,0.05,0.99,0.7032060623168945
170,52.0,0.18295651830906087,0.05,0.99,0.7032060623168945
171,58.0,0.18112695312597027,0.05,0.99,0.7032060623168945
172,49.0,0.17931568359471056,0.05,0.99,0.7189338207244873
173,35.0,0.17752252675876345,0.05,0.99,0.7189338207244873
174,27.0,0.17574730149117582,0.05,0.99,0.7189338207244873
175,43.0,0.17398982847626407,0.05,0.99,0.7346384525299072
176,45.0,0.17224993019150142,0.05,0.99,0.7346384525299072
177,10.0,0.1705274308895864,0.05,0.99,0.7346384525299072
178,47.0,0.16882215658069055,0.05,0.99,0.7346384525299072
179,14.0,0.16713393501488363,0.05,0.99,0.7505125999450684
180,28.0,0.16546259566473479,0.05,0.99,0.7505125999450684
181,14.0,0.16380796970808745,0.05,0.99,0.7505125999450684
182,54.0,0.16216989001100657,0.05,0.99,0.7607443332672119
183,37.0,0.1605481911108965,0.05,0.99,0.766310453414917
184,76.0,0.15894270919978754,0.05,0.99,0.766310453414917
185,132.0,0.15735328210778965,0.05,0.99,0.7821764945983887
186,25.0,0.15577974928671176,0.05,0.99,0.7821764945983887
187,10.0,0.15422195179384465,0.05,0.99,0.7821764945983887
188,42.0,0.1526797322759062,0.05,0.99,0.8000378608703613
189,9.0,0.15115293495314713,0.05,0.99,0.8020110130310059
190,37.0,0.14964140560361566,0.05,0.99,0.8070859909057617
191,30.0,0.1481449915475795,0.05,0.99,0.8110873699188232
