episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.99,0.0
2,14.0,0.995,0.05,0.99,0.007823705673217773
3,41.0,0.990025,0.05,0.99,0.013876914978027344
4,16.0,0.985074875,0.05,0.99,0.01588892936706543
5,30.0,0.9801495006250001,0.05,0.99,0.0219271183013916
6,14.0,0.9752487531218751,0.05,0.99,0.023939847946166992
7,15.0,0.9703725093562657,0.05,0.99,0.02796459197998047
8,22.0,0.9655206468094844,0.05,0.99,0.02997589111328125
9,41.0,0.960693043575437,0.05,0.99,0.03575778007507324
10,21.0,0.9558895783575597,0.05,0.99,0.039780378341674805
11,22.0,0.9511101304657719,0.05,0.99,0.04381132125854492
12,17.0,0.946354579813443,0.05,0.99,0.047582149505615234
13,14.0,0.9416228069143757,0.05,0.99,0.04959535598754883
14,14.0,0.9369146928798039,0.05,0.99,0.05196070671081543
15,22.0,0.9322301194154049,0.05,0.99,0.05196070671081543
16,30.0,0.9275689688183278,0.05,0.99,0.05196070671081543
17,42.0,0.9229311239742362,0.05,0.99,0.06371283531188965
18,28.0,0.918316468354365,0.05,0.99,0.06371283531188965
19,35.0,0.9137248860125932,0.05,0.99,0.06371283531188965
20,15.0,0.9091562615825302,0.05,0.99,0.08170485496520996
21,12.0,0.9046104802746175,0.05,0.99,0.08372807502746582
22,19.0,0.9000874278732445,0.05,0.99,0.08776545524597168
23,17.0,0.8955869907338783,0.05,0.99,0.08978414535522461
24,15.0,0.8911090557802088,0.05,0.99,0.09381437301635742
25,17.0,0.8866535105013078,0.05,0.99,0.09759211540222168
26,33.0,0.8822202429488013,0.05,0.99,0.10162734985351562
27,16.0,0.8778091417340573,0.05,0.99,0.10565829277038574
28,32.0,0.8734200960253871,0.05,0.99,0.10968685150146484
29,18.0,0.8690529955452602,0.05,0.99,0.1134634017944336
30,50.0,0.8647077305675338,0.05,0.99,0.1215205192565918
31,11.0,0.8603841919146962,0.05,0.99,0.12353920936584473
32,24.0,0.8560822709551227,0.05,0.99,0.12731552124023438
33,11.0,0.851801859600347,0.05,0.99,0.1293342113494873
34,61.0,0.8475428503023453,0.05,0.99,0.1379079818725586
35,50.0,0.8433051360508336,0.05,0.99,0.14546608924865723
36,9.0,0.8390886103705794,0.05,0.99,0.14748191833496094
37,9.0,0.8348931673187264,0.05,0.99,0.14949512481689453
38,22.0,0.8307187014821328,0.05,0.99,0.15352225303649902
39,28.0,0.8265651079747222,0.05,0.99,0.15755200386047363
40,38.0,0.8224322824348486,0.05,0.99,0.16333723068237305
41,39.0,0.8183201210226743,0.05,0.99,0.1693706512451172
42,15.0,0.8142285204175609,0.05,0.99,0.1713862419128418
43,21.0,0.810157377815473,0.05,0.99,0.1751561164855957
44,13.0,0.8061065909263957,0.05,0.99,0.1771712303161621
45,41.0,0.8020760579717637,0.05,0.99,0.18320631980895996
46,69.0,0.798065677681905,0.05,0.99,0.19098997116088867
47,46.0,0.7940753492934954,0.05,0.99,0.19702506065368652
48,10.0,0.7901049725470279,0.05,0.99,0.19904065132141113
49,13.0,0.7861544476842928,0.05,0.99,0.20105862617492676
50,20.0,0.7822236754458713,0.05,0.99,0.20508909225463867
51,32.0,0.778312557068642,0.05,0.99,0.20885920524597168
52,50.0,0.7744209942832988,0.05,0.99,0.21539807319641113
53,14.0,0.7705488893118823,0.05,0.99,0.21741294860839844
54,30.0,0.7666961448653229,0.05,0.99,0.22143864631652832
55,39.0,0.7628626641409962,0.05,0.99,0.22698354721069336
56,13.0,0.7590483508202912,0.05,0.99,0.22899985313415527
57,29.0,0.7552531090661897,0.05,0.99,0.23302936553955078
58,32.0,0.7514768435208588,0.05,0.99,0.23806500434875488
59,30.0,0.7477194593032545,0.05,0.99,0.24109816551208496
60,57.0,0.7439808620067382,0.05,0.99,0.24914073944091797
61,55.0,0.7402609576967045,0.05,0.99,0.25609445571899414
62,25.0,0.736559652908221,0.05,0.99,0.26012158393859863
63,31.0,0.7328768546436799,0.05,0.99,0.2641472816467285
64,34.0,0.7292124703704616,0.05,0.99,0.2681736946105957
65,22.0,0.7255664080186093,0.05,0.99,0.2721991539001465
66,25.0,0.7219385759785162,0.05,0.99,0.27622318267822266
67,23.0,0.7183288830986236,0.05,0.99,0.27823781967163086
