episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.05,0.99,0.0039975643157958984
2,14.0,0.98,0.05,0.99,0.006992340087890625
3,26.0,0.9603999999999999,0.05,0.99,0.012699604034423828
4,10.0,0.9411919999999999,0.05,0.99,0.01469278335571289
5,16.0,0.9223681599999999,0.05,0.99,0.01769423484802246
6,32.0,0.9039207967999998,0.05,0.99,0.022706031799316406
7,27.0,0.8858423808639998,0.05,0.99,0.02569437026977539
8,11.0,0.8681255332467198,0.05,0.99,0.02569437026977539
9,37.0,0.8507630225817854,0.05,0.99,0.02569437026977539
10,92.0,0.8337477621301497,0.05,0.99,0.04576301574707031
11,42.0,0.8170728068875467,0.05,0.99,0.05180048942565918
12,16.0,0.8007313507497957,0.05,0.99,0.055826663970947266
13,10.0,0.7847167237347998,0.05,0.99,0.0575861930847168
14,54.0,0.7690223892601038,0.05,0.99,0.06565070152282715
15,30.0,0.7536419414749017,0.05,0.99,0.06968498229980469
16,10.0,0.7385691026454037,0.05,0.99,0.07170367240905762
17,12.0,0.7237977205924956,0.05,0.99,0.07528376579284668
18,20.0,0.7093217661806457,0.05,0.99,0.07730245590209961
19,16.0,0.6951353308570327,0.05,0.99,0.08133840560913086
20,12.0,0.6812326242398921,0.05,0.99,0.08335518836975098
21,15.0,0.6676079717550942,0.05,0.99,0.08536958694458008
22,15.0,0.6542558123199923,0.05,0.99,0.08890104293823242
23,12.0,0.6411706960735924,0.05,0.99,0.08890104293823242
24,32.0,0.6283472821521205,0.05,0.99,0.08890104293823242
25,75.0,0.6157803365090782,0.05,0.99,0.10607743263244629
26,11.0,0.6034647297788965,0.05,0.99,0.1080772876739502
27,39.0,0.5913954351833186,0.05,0.99,0.11307525634765625
28,33.0,0.5795675264796523,0.05,0.99,0.11707472801208496
29,19.0,0.5679761759500592,0.05,0.99,0.12007975578308105
30,59.0,0.5566166524310581,0.05,0.99,0.12707829475402832
31,13.0,0.5454843193824369,0.05,0.99,0.1290738582611084
32,80.0,0.5345746329947881,0.05,0.99,0.1360764503479004
33,49.0,0.5238831403348924,0.05,0.99,0.1360764503479004
34,65.0,0.5134054775281945,0.05,0.99,0.1517958641052246
35,43.0,0.5031373679776306,0.05,0.99,0.1517958641052246
36,20.0,0.493074620618078,0.05,0.99,0.1517958641052246
37,66.0,0.48321312820571644,0.05,0.99,0.16785407066345215
38,26.0,0.4735488656416021,0.05,0.99,0.16785407066345215
39,12.0,0.46407788832877006,0.05,0.99,0.16785407066345215
40,71.0,0.45479633056219465,0.05,0.99,0.16785407066345215
41,53.0,0.44570040395095073,0.05,0.99,0.18782281875610352
42,85.0,0.4367863958719317,0.05,0.99,0.18782281875610352
43,71.0,0.42805066795449304,0.05,0.99,0.19952893257141113
44,47.0,0.41948965459540316,0.05,0.99,0.19952893257141113
45,38.0,0.4110998615034951,0.05,0.99,0.2153611183166504
46,41.0,0.4028778642734252,0.05,0.99,0.2153611183166504
47,39.0,0.39482030698795667,0.05,0.99,0.2153611183166504
48,48.0,0.38692390084819756,0.05,0.99,0.23137974739074707
49,49.0,0.3791854228312336,0.05,0.99,0.23760461807250977
50,14.0,0.37160171437460887,0.05,0.99,0.24060511589050293
51,13.0,0.3641696800871167,0.05,0.99,0.2425980567932129
52,39.0,0.35688628648537435,0.05,0.99,0.24678850173950195
53,41.0,0.34974856075566685,0.05,0.99,0.25179147720336914
54,38.0,0.3427535895405535,0.05,0.99,0.2567884922027588
55,42.0,0.33589851774974244,0.05,0.99,0.261944055557251
56,59.0,0.3291805473947476,0.05,0.99,0.269564151763916
57,19.0,0.32259693644685267,0.05,0.99,0.2715637683868408
58,90.0,0.3161449977179156,0.05,0.99,0.276611328125
59,38.0,0.3098220977635573,0.05,0.99,0.276611328125
60,30.0,0.30362565580828615,0.05,0.99,0.2880408763885498
61,103.0,0.2975531426921204,0.05,0.99,0.2925288677215576
62,41.0,0.291602079838278,0.05,0.99,0.2925288677215576
63,84.0,0.2857700382415124,0.05,0.99,0.30835461616516113
64,53.0,0.2800546374766822,0.05,0.99,0.30835461616516113
65,32.0,0.27445354472714856,0.05,0.99,0.3265867233276367
66,25.0,0.2689644738326056,0.05,0.99,0.3295857906341553
67,25.0,0.26358518435595346,0.05,0.99,0.33316779136657715
68,37.0,0.25831348066883436,0.05,0.99,0.33716654777526855
69,28.0,0.2531472110554577,0.05,0.99,0.34232592582702637
70,34.0,0.24808426683434853,0.05,0.99,0.347292423248291
71,12.0,0.24312258149766156,0.05,0.99,0.34929656982421875
72,38.0,0.2382601298677083,0.05,0.99,0.3542921543121338
73,46.0,0.23349492727035415,0.05,0.99,0.3595731258392334
74,12.0,0.22882502872494706,0.05,0.99,0.361541748046875
75,39.0,0.22424852815044813,0.05,0.99,0.36657285690307617
76,57.0,0.21976355758743915,0.05,0.99,0.3736262321472168
77,56.0,0.21536828643569036,0.05,0.99,0.38063693046569824
78,44.0,0.21106092070697655,0.05,0.99,0.3856368064880371
79,24.0,0.20683970229283702,0.05,0.99,0.38947081565856934
80,13.0,0.20270290824698028,0.05,0.99,0.39143943786621094
81,68.0,0.19864885008204067,0.05,0.99,0.3994877338409424
82,12.0,0.19467587308039985,0.05,0.99,0.401439905166626
