episode,total_reward,epsilon,alpha,gamma,elapsed
1,22.0,1.0,0.1,0.95,0.0
2,14.0,0.98,0.1,0.95,0.013705253601074219
3,22.0,0.9603999999999999,0.1,0.95,0.013705253601074219
4,15.0,0.9411919999999999,0.1,0.95,0.013705253601074219
5,25.0,0.9223681599999999,0.1,0.95,0.013705253601074219
6,35.0,0.9039207967999998,0.1,0.95,0.02841806411743164
7,12.0,0.8858423808639998,0.1,0.95,0.02841806411743164
8,13.0,0.8681255332467198,0.1,0.95,0.02841806411743164
9,34.0,0.8507630225817854,0.1,0.95,0.02841806411743164
10,14.0,0.8337477621301497,0.1,0.95,0.02841806411743164
11,16.0,0.8170728068875467,0.1,0.95,0.02841806411743164
12,27.0,0.8007313507497957,0.1,0.95,0.045099496841430664
13,26.0,0.7847167237347998,0.1,0.95,0.045099496841430664
14,17.0,0.7690223892601038,0.1,0.95,0.045099496841430664
15,30.0,0.7536419414749017,0.1,0.95,0.045099496841430664
16,14.0,0.7385691026454037,0.1,0.95,0.060247182846069336
17,30.0,0.7237977205924956,0.1,0.95,0.060247182846069336
18,15.0,0.7093217661806457,0.1,0.95,0.060247182846069336
19,16.0,0.6951353308570327,0.1,0.95,0.060247182846069336
20,19.0,0.6812326242398921,0.1,0.95,0.060247182846069336
21,22.0,0.6676079717550942,0.1,0.95,0.0760045051574707
22,13.0,0.6542558123199923,0.1,0.95,0.0760045051574707
23,39.0,0.6411706960735924,0.1,0.95,0.0760045051574707
24,19.0,0.6283472821521205,0.1,0.95,0.0760045051574707
25,13.0,0.6157803365090782,0.1,0.95,0.0760045051574707
26,79.0,0.6034647297788965,0.1,0.95,0.10036468505859375
27,18.0,0.5913954351833186,0.1,0.95,0.10439610481262207
28,60.0,0.5795675264796523,0.1,0.95,0.11144423484802246
29,20.0,0.5679761759500592,0.1,0.95,0.11395955085754395
30,52.0,0.5566166524310581,0.1,0.95,0.1199958324432373
31,33.0,0.5454843193824369,0.1,0.95,0.12553620338439941
32,37.0,0.5345746329947881,0.1,0.95,0.13157868385314941
33,16.0,0.5238831403348924,0.1,0.95,0.1335921287536621
34,32.0,0.5134054775281945,0.1,0.95,0.13761663436889648
35,51.0,0.5031373679776306,0.1,0.95,0.14540529251098633
36,37.0,0.493074620618078,0.1,0.95,0.1494283676147461
37,16.0,0.48321312820571644,0.1,0.95,0.15143990516662598
38,87.0,0.4735488656416021,0.1,0.95,0.16324925422668457
39,13.0,0.46407788832877006,0.1,0.95,0.16526365280151367
40,11.0,0.45479633056219465,0.1,0.95,0.16727900505065918
41,15.0,0.44570040395095073,0.1,0.95,0.16929388046264648
42,24.0,0.4367863958719317,0.1,0.95,0.1710495948791504
43,10.0,0.42805066795449304,0.1,0.95,0.1710495948791504
44,15.0,0.41948965459540316,0.1,0.95,0.1710495948791504
45,11.0,0.4110998615034951,0.1,0.95,0.1710495948791504
46,42.0,0.4028778642734252,0.1,0.95,0.1710495948791504
47,9.0,0.39482030698795667,0.1,0.95,0.1868724822998047
48,11.0,0.38692390084819756,0.1,0.95,0.1868724822998047
49,11.0,0.3791854228312336,0.1,0.95,0.1868724822998047
50,11.0,0.37160171437460887,0.1,0.95,0.1868724822998047
51,11.0,0.3641696800871167,0.1,0.95,0.1868724822998047
52,14.0,0.35688628648537435,0.1,0.95,0.1868724822998047
53,29.0,0.34974856075566685,0.1,0.95,0.20255708694458008
54,47.0,0.3427535895405535,0.1,0.95,0.20255708694458008
55,11.0,0.33589851774974244,0.1,0.95,0.20255708694458008
56,35.0,0.3291805473947476,0.1,0.95,0.21387434005737305
57,10.0,0.32259693644685267,0.1,0.95,0.21387434005737305
58,16.0,0.3161449977179156,0.1,0.95,0.21843409538269043
59,12.0,0.3098220977635573,0.1,0.95,0.21843409538269043
60,39.0,0.30362565580828615,0.1,0.95,0.21843409538269043
61,50.0,0.2975531426921204,0.1,0.95,0.21843409538269043
62,34.0,0.291602079838278,0.1,0.95,0.23438000679016113
63,100.0,0.2857700382415124,0.1,0.95,0.23438000679016113
64,67.0,0.2800546374766822,0.1,0.95,0.2515869140625
65,14.0,0.27445354472714856,0.1,0.95,0.2515869140625
66,9.0,0.2689644738326056,0.1,0.95,0.2515869140625
67,29.0,0.26358518435595346,0.1,0.95,0.2515869140625
68,10.0,0.25831348066883436,0.1,0.95,0.26645684242248535
69,55.0,0.2531472110554577,0.1,0.95,0.26645684242248535
70,8.0,0.24808426683434853,0.1,0.95,0.26645684242248535
71,29.0,0.24312258149766156,0.1,0.95,0.26645684242248535
72,11.0,0.2382601298677083,0.1,0.95,0.2821519374847412
73,21.0,0.23349492727035415,0.1,0.95,0.2821519374847412
74,38.0,0.22882502872494706,0.1,0.95,0.2821519374847412
75,10.0,0.22424852815044813,0.1,0.95,0.2821519374847412
76,86.0,0.21976355758743915,0.1,0.95,0.2980787754058838
77,39.0,0.21536828643569036,0.1,0.95,0.2980787754058838
78,11.0,0.21106092070697655,0.1,0.95,0.2980787754058838
79,38.0,0.20683970229283702,0.1,0.95,0.3153855800628662
80,30.0,0.20270290824698028,0.1,0.95,0.31949543952941895
81,10.0,0.19864885008204067,0.1,0.95,0.32151079177856445
82,25.0,0.19467587308039985,0.1,0.95,0.3252687454223633
83,11.0,0.19078235561879187,0.1,0.95,0.3282780647277832
84,38.0,0.18696670850641603,0.1,0.95,0.3332700729370117
85,9.0,0.18322737433628772,0.1,0.95,0.3352701663970947
86,12.0,0.17956282684956196,0.1,0.95,0.3372688293457031
87,9.0,0.1759715703125707,0.1,0.95,0.339709997177124
88,33.0,0.1724521389063193,0.1,0.95,0.339709997177124
89,9.0,0.16900309612819292,0.1,0.95,0.339709997177124
90,36.0,0.16562303420562907,0.1,0.95,0.339709997177124
91,60.0,0.16231057352151648,0.1,0.95,0.3551363945007324
92,9.0,0.15906436205108615,0.1,0.95,0.3551363945007324
93,23.0,0.15588307481006441,0.1,0.95,0.3551363945007324
94,10.0,0.15276541331386312,0.1,0.95,0.3551363945007324
95,30.0,0.14971010504758586,0.1,0.95,0.37088942527770996
96,11.0,0.14671590294663414,0.1,0.95,0.37290120124816895
97,36.0,0.14378158488770146,0.1,0.95,0.37290120124816895
98,11.0,0.14090595318994742,0.1,0.95,0.37290120124816895
99,44.0,0.13808783412614847,0.1,0.95,0.37290120124816895
100,26.0,0.13532607744362551,0.1,0.95,0.3870353698730469
101,9.0,0.132619555894753,0.1,0.95,0.3870353698730469
102,40.0,0.12996716477685794,0.1,0.95,0.3870353698730469
103,23.0,0.12736782148132078,0.1,0.95,0.3870353698730469
104,55.0,0.12482046505169436,0.1,0.95,0.4027099609375
105,39.0,0.12232405575066048,0.1,0.95,0.4027099609375
106,10.0,0.11987757463564727,0.1,0.95,0.4027099609375
107,33.0,0.11748002314293432,0.1,0.95,0.4139065742492676
108,36.0,0.11513042268007563,0.1,0.95,0.4185631275177002
109,47.0,0.11282781422647412,0.1,0.95,0.4185631275177002
110,45.0,0.11057125794194463,0.1,0.95,0.4185631275177002
111,54.0,0.10835983278310574,0.1,0.95,0.4342961311340332
112,41.0,0.10619263612744362,0.1,0.95,0.4342961311340332
113,41.0,0.10406878340489474,0.1,0.95,0.4342961311340332
114,37.0,0.10198740773679685,0.1,0.95,0.45038604736328125
115,12.0,0.09994765958206091,0.1,0.95,0.45038604736328125
116,62.0,0.0979487063904197,0.1,0.95,0.45038604736328125
117,31.0,0.0959897322626113,0.1,0.95,0.4662048816680908
118,12.0,0.09406993761735907,0.1,0.95,0.4662048816680908
119,44.0,0.0921885388650119,0.1,0.95,0.4662048816680908
120,11.0,0.09034476808771166,0.1,0.95,0.4662048816680908
121,34.0,0.08853787272595742,0.1,0.95,0.4662048816680908
122,70.0,0.08676711527143827,0.1,0.95,0.4872095584869385
123,30.0,0.0850317729660095,0.1,0.95,0.4872095584869385
124,60.0,0.08333113750668932,0.1,0.95,0.49800753593444824
125,52.0,0.08166451475655553,0.1,0.95,0.49800753593444824
126,34.0,0.08003122446142442,0.1,0.95,0.49800753593444824
127,9.0,0.07843059997219594,0.1,0.95,0.5142495632171631
128,10.0,0.07686198797275202,0.1,0.95,0.5142495632171631
129,10.0,0.07532474821329699,0.1,0.95,0.5142495632171631
130,10.0,0.07381825324903105,0.1,0.95,0.5142495632171631
131,45.0,0.07234188818405042,0.1,0.95,0.5142495632171631
132,23.0,0.07089505042036941,0.1,0.95,0.5142495632171631
133,39.0,0.06947714941196202,0.1,0.95,0.5294830799102783
134,10.0,0.06808760642372277,0.1,0.95,0.5294830799102783
135,28.0,0.06672585429524831,0.1,0.95,0.5294830799102783
136,9.0,0.06539133720934334,0.1,0.95,0.5294830799102783
137,41.0,0.06408351046515648,0.1,0.95,0.545377254486084
138,10.0,0.06280184025585335,0.1,0.95,0.545377254486084
139,64.0,0.061545803450736285,0.1,0.95,0.545377254486084
140,41.0,0.060314887381721555,0.1,0.95,0.545377254486084
141,65.0,0.05910858963408712,0.1,0.95,0.5623855590820312
142,57.0,0.05792641784140538,0.1,0.95,0.5623855590820312
143,45.0,0.05676788948457727,0.1,0.95,0.5771298408508301
144,76.0,0.055632531694885724,0.1,0.95,0.5771298408508301
145,27.0,0.054519881060988006,0.1,0.95,0.5771298408508301
146,9.0,0.05342948343976824,0.1,0.95,0.592949628829956
147,58.0,0.052360893770972874,0.1,0.95,0.6031155586242676
148,52.0,0.05131367589555342,0.1,0.95,0.6130030155181885
149,9.0,0.05028740237764235,0.1,0.95,0.6159651279449463
150,76.0,0.05,0.1,0.95,0.6262702941894531
151,23.0,0.05,0.1,0.95,0.6305806636810303
152,55.0,0.05,0.1,0.95,0.6380817890167236
153,49.0,0.05,0.1,0.95,0.6438918113708496
154,35.0,0.05,0.1,0.95,0.6488862037658691
155,10.0,0.05,0.1,0.95,0.650463342666626
156,38.0,0.05,0.1,0.95,0.6545042991638184
157,24.0,0.05,0.1,0.95,0.6563265323638916
158,9.0,0.05,0.1,0.95,0.6563265323638916
159,35.0,0.05,0.1,0.95,0.6563265323638916
160,35.0,0.05,0.1,0.95,0.6657843589782715
161,55.0,0.05,0.1,0.95,0.6711854934692383
162,40.0,0.05,0.1,0.95,0.6711854934692383
163,39.0,0.05,0.1,0.95,0.6711854934692383
164,10.0,0.05,0.1,0.95,0.6872749328613281
